# SAP Export - Internal Use Only
# Date: 2026-02-24
# Region: Global
# Filter: All Accounts
# ------------------------------------
Account ID,Account Name,Account Type,Balance
100000,Account_0,Equity,273085.96
100001,Account_1,Revenue,967643.21
100002,Account_2,Expense,102541.59
100003,Account_3,Liability,303697.59
100004,Account_4,Asset,252720.27
100005,Account_5,Liability,883570.56
100006,Account_6,Revenue,952140.05
100007,Account_7,Equity,228368.08
100008,Account_8,Asset,201294.47
100009,Account_9,Liability,271786.67
100010,Account_10,Expense,356346.28
100011,Account_11,Expense,910307.59
100012,Account_12,Expense,249867.75
100013,Account_13,Asset,661728.6
100014,Account_14,Liability,633646.36
100015,Account_15,Liability,122995.33
100016,Account_16,Revenue,194974.0
100017,Account_17,Asset,333234.48
100018,Account_18,Expense,352080.3
100019,Account_19,Liability,34685.6
100020,Account_20,Expense,119333.96
100021,Account_21,Revenue,860539.78
100022,Account_22,Asset,624417.98
100023,Account_23,Liability,294490.96
100024,Account_24,Asset,1340.36
100025,Account_25,Equity,77424.8
100026,Account_26,Asset,630319.01
100027,Account_27,Asset,467534.4
100028,Account_28,Liability,939108.53
100029,Account_29,Revenue,839517.08
100030,Account_30,Expense,353399.46
100031,Account_31,Equity,767278.57
100032,Account_32,Asset,316643.52
100033,Account_33,Expense,44378.6
100034,Account_34,Expense,333658.52
100035,Account_35,Asset,292981.39
100036,Account_36,Liability,525748.73
100037,Account_37,Expense,374239.8
100038,Account_38,Liability,170302.99
100039,Account_39,Asset,400956.84
100040,Account_40,Liability,941509.63
100041,Account_41,Expense,408917.17
100042,Account_42,Asset,328794.55
100043,Account_43,Liability,949276.93
100044,Account_44,Liability,818890.28
100045,Account_45,Revenue,138754.56
100046,Account_46,Revenue,268693.22
100047,Account_47,Revenue,363807.13
100048,Account_48,Liability,172734.03
100049,Account_49,Expense,931040.05
100050,Account_50,Revenue,214693.16
100051,Account_51,Expense,899824.44
100052,Account_52,Liability,264326.38
100053,Account_53,Expense,819355.71
100054,Account_54,Equity,333416.54
100055,Account_55,Expense,322030.65
100056,Account_56,Expense,530331.71
100057,Account_57,Equity,106103.0
100058,Account_58,Expense,882101.85
100059,Account_59,Liability,279326.64
100060,Account_60,Expense,92989.28
100061,Account_61,Asset,114824.57
100062,Account_62,Revenue,262949.84
100063,Account_63,Expense,269119.49
100064,Account_64,Asset,536711.54
100065,Account_65,Revenue,413439.39
100066,Account_66,Liability,944126.84
100067,Account_67,Asset,32552.85
100068,Account_68,Equity,933875.53
100069,Account_69,Equity,427633.86
100070,Account_70,Expense,638964.2
100071,Account_71,Revenue,221149.5
100072,Account_72,Revenue,51801.12
100073,Account_73,Liability,954837.61
100074,Account_74,Revenue,103429.69
100075,Account_75,Asset,25123.08
100076,Account_76,Revenue,457975.73
100077,Account_77,Liability,979630.96
100078,Account_78,Liability,884832.88
100079,Account_79,Revenue,324919.59
100080,Account_80,Equity,353217.5
100081,Account_81,Expense,665016.95
100082,Account_82,Revenue,816324.51
100083,Account_83,Equity,594227.88
100084,Account_84,Expense,714314.06
100085,Account_85,Revenue,626364.27
100086,Account_86,Equity,24705.9
100087,Account_87,Asset,866978.18
100088,Account_88,Expense,880787.6
100089,Account_89,Asset,270194.09
100090,Account_90,Liability,237342.86
100091,Account_91,Revenue,227273.1
100092,Account_92,Asset,149343.64
100093,Account_93,Expense,322361.41
100094,Account_94,Revenue,336648.66
100095,Account_95,Asset,844698.2
100096,Account_96,Asset,979510.45
100097,Account_97,Liability,974353.44
100098,Account_98,Expense,627135.36
100099,Account_99,Revenue,218615.48
100100,Account_100,Revenue,63895.49
100101,Account_101,Revenue,985830.53
100102,Account_102,Equity,242612.7
100103,Account_103,Asset,737359.4
100104,Account_104,Equity,516499.75
100105,Account_105,Expense,498703.39
100106,Account_106,Equity,85335.81
100107,Account_107,Equity,280401.33
100108,Account_108,Liability,667651.66
100109,Account_109,Equity,596280.55
100110,Account_110,Equity,564203.32
100111,Account_111,Liability,428457.39
100112,Account_112,Liability,252017.0
100113,Account_113,Equity,476877.48
100114,Account_114,Revenue,118029.46
100115,Account_115,Revenue,567917.19
100116,Account_116,Equity,494314.91
100117,Account_117,Asset,450083.64
100118,Account_118,Asset,113220.23
100119,Account_119,Liability,434027.4
100120,Account_120,Expense,688659.24
100121,Account_121,Liability,849143.05
100122,Account_122,Expense,178041.4
100123,Account_123,Revenue,568923.91
100124,Account_124,Asset,926375.89
100125,Account_125,Revenue,530991.2
100126,Account_126,Revenue,822007.03
100127,Account_127,Expense,140362.02
