vendor_id,vendor_name,category
V-0000,Tesla 0 Inc.,Software
V-0001,Meta 1 Inc.,Software
V-0002,Adobe 2 Corp.,Software
V-0003,Microsoft 3 Corp.,Software
V-0004,Oracle 4 Inc.,Software
V-0005,Salesforce 5 Inc.,Software
V-0006,Oracle 6 Corp.,Software
V-0007,Apple 7 Inc.,Software
V-0008,Meta 8 Inc.,Software
V-0009,Netflix 9 Inc.,Software
V-0010,Microsoft 10 Corp.,Software
V-0011,Netflix 11 Corp.,Software
V-0012,Apple 12 Corp.,Software
V-0013,Google 13 Inc.,Software
V-0014,Netflix 14 Corp.,Software
V-0015,Adobe 15 Corp.,Software
V-0016,Salesforce 16 Corp.,Software
V-0017,Oracle 17 Corp.,Software
V-0018,Apple 18 Corp.,Software
V-0019,Meta 19 Corp.,Software
V-0020,Apple 20 Corp.,Software
V-0021,Oracle 21 Inc.,Software
V-0022,Google 22 Corp.,Software
V-0023,Amazon 23 Corp.,Software
V-0024,Adobe 24 Inc.,Software
V-0025,Meta 25 Corp.,Software
V-0026,Google 26 Corp.,Software
V-0027,Salesforce 27 Corp.,Software
V-0028,Microsoft 28 Corp.,Software
V-0029,Google 29 Corp.,Software
V-0030,Adobe 30 Inc.,Software
V-0031,Oracle 31 Inc.,Software
V-0032,Salesforce 32 Corp.,Software
V-0033,Meta 33 Inc.,Software
V-0034,Apple 34 Inc.,Software
V-0035,Apple 35 Corp.,Software
V-0036,Amazon 36 Corp.,Software
V-0037,Microsoft 37 Corp.,Software
V-0038,Amazon 38 Inc.,Software
V-0039,Oracle 39 Corp.,Software
V-0040,Google 40 Corp.,Software
V-0041,Oracle 41 Corp.,Software
V-0042,Meta 42 Corp.,Software
V-0043,Amazon 43 Inc.,Software
V-0044,Google 44 Corp.,Software
V-0045,Oracle 45 Corp.,Software
V-0046,Meta 46 Corp.,Software
V-0047,Apple 47 Corp.,Software
V-0048,Salesforce 48 Inc.,Software
V-0049,Salesforce 49 Inc.,Software
V-0050,Microsoft 50 Inc.,Software
V-0051,Google 51 Inc.,Software
V-0052,Oracle 52 Inc.,Software
V-0053,Meta 53 Corp.,Software
V-0054,Apple 54 Inc.,Software
V-0055,Meta 55 Inc.,Software
V-0056,Amazon 56 Corp.,Software
V-0057,Amazon 57 Corp.,Software
V-0058,Netflix 58 Inc.,Software
V-0059,Netflix 59 Inc.,Software
V-0060,Google 60 Corp.,Software
V-0061,Meta 61 Inc.,Software
V-0062,Adobe 62 Inc.,Software
V-0063,Meta 63 Corp.,Software
V-0064,Microsoft 64 Corp.,Software
V-0065,Microsoft 65 Corp.,Software
V-0066,Google 66 Corp.,Software
V-0067,Netflix 67 Corp.,Software
V-0068,Meta 68 Corp.,Software
V-0069,Oracle 69 Inc.,Software
V-0070,Tesla 70 Corp.,Software
V-0071,Netflix 71 Corp.,Software
V-0072,Netflix 72 Inc.,Software
V-0073,Tesla 73 Inc.,Software
V-0074,Apple 74 Corp.,Software
V-0075,Netflix 75 Inc.,Software
V-0076,Adobe 76 Corp.,Software
V-0077,Google 77 Inc.,Software
V-0078,Netflix 78 Inc.,Software
V-0079,Adobe 79 Inc.,Software
V-0080,Meta 80 Inc.,Software
V-0081,Oracle 81 Inc.,Software
V-0082,Amazon 82 Inc.,Software
V-0083,Amazon 83 Corp.,Software
V-0084,Adobe 84 Corp.,Software
V-0085,Tesla 85 Corp.,Software
V-0086,Adobe 86 Corp.,Software
V-0087,Meta 87 Corp.,Software
V-0088,Salesforce 88 Corp.,Software
V-0089,Apple 89 Corp.,Software
V-0090,Amazon 90 Corp.,Software
V-0091,Netflix 91 Inc.,Software
V-0092,Oracle 92 Corp.,Software
V-0093,Tesla 93 Corp.,Software
V-0094,Microsoft 94 Inc.,Software
V-0095,Netflix 95 Inc.,Software
